Model,p,mu,Kernel,Best α,Best γ,KRR Train NRMSE,KRR Test NRMSE,Linear Test NRMSE
Model 1 (Linear AR),1,,rbf,0.1,1.0,1.5693605376025745,1.985074490615712,1.9729355727920563
Model 1 (Linear AR),1,,laplacian,1e-06,1e-07,1.5665073874864077,1.9923887692958244,1.9729355727920563
Model 1 (Linear AR),1,,poly,0.01,1.0,1.56874260419563,2.0082944706162547,1.9729355727920563
Model 1 (Linear AR),2,,rbf,1e-06,1e-05,0.9860585606222518,1.0903250353925924,1.0912605737773717
Model 1 (Linear AR),2,,laplacian,1e-06,1e-06,0.9578143610631893,1.179655897817188,1.0912605737773717
Model 1 (Linear AR),2,,poly,1e-06,1e-05,0.9860518058555454,1.090017895203729,1.0912605737773717
Model 1 (Linear AR),5,,rbf,0.0001,0.001,0.9873103155687222,1.088916595250776,1.0899459033948593
Model 1 (Linear AR),5,,laplacian,1e-06,1e-06,0.9187153474903633,1.192639657423344,1.0899459033948593
Model 1 (Linear AR),5,,poly,0.01,0.01,0.9886500128044968,1.0881317101459103,1.0899459033948593
Model 2 (Nonlinear AR),1,,rbf,1e-05,1.0,1.547630172966134,1.7965712161085778,1.8367927576926828
Model 2 (Nonlinear AR),1,,laplacian,1e-06,1e-06,1.5338420585608448,1.8029808504254858,1.8367927576926828
Model 2 (Nonlinear AR),1,,poly,1e-06,1000.0,1.5521607015746381,1.8179677159525005,1.8367927576926828
Model 2 (Nonlinear AR),2,,rbf,0.0001,0.1,0.9774493462521074,1.0938801727426384,1.2402361560935868
Model 2 (Nonlinear AR),2,,laplacian,1e-06,1e-06,0.9555055332498065,1.1302771131060632,1.2402361560935868
Model 2 (Nonlinear AR),2,,poly,0.0001,0.1,0.9776729843802991,1.0907581530397583,1.2402361560935868
Model 2 (Nonlinear AR),5,,rbf,0.01,0.1,0.9844818801516692,1.1101525146097606,1.2350839139420058
Model 2 (Nonlinear AR),5,,laplacian,1e-06,1e-06,0.9104560126276725,1.1086098575881196,1.2350839139420058
Model 2 (Nonlinear AR),5,,poly,0.01,0.1,0.9839536825731078,1.103557450060422,1.2350839139420058
Model 3 (Logistic),1,1.0,rbf,0.01,100.0,0.02489064074233203,0.0002499324086646338,0.0056291746674095285
Model 3 (Logistic),1,1.0,laplacian,0.1,10.0,0.02158240661032145,0.0022399860518398334,0.0056291746674095285
Model 3 (Logistic),1,1.0,poly,1e-06,10.0,0.02488950065854631,0.00019009495552335177,0.0056291746674095285
Model 3 (Logistic),1,2.0,rbf,1e-06,10.0,0.04051477558778986,2.0376945339961594e-05,0.0020501904964520534
Model 3 (Logistic),1,2.0,laplacian,1e-06,10.0,1.4461548219784812e-06,3.1985236681464357e-09,0.0020501904964520534
Model 3 (Logistic),1,2.0,poly,1e-06,10.0,0.0481926620165626,0.0002464893850628868,0.0020501904964520534
Model 3 (Logistic),1,4.0,rbf,0.0001,1.0,0.1370880682723898,0.023297214996620356,3.499237686834056
Model 3 (Logistic),1,4.0,laplacian,0.01,0.1,0.132221393402631,0.03740582035049313,3.499237686834056
Model 3 (Logistic),1,4.0,poly,0.1,1000.0,0.13787304582145601,0.019407201914786752,3.499237686834056
Model 3 (Logistic),2,1.0,rbf,0.0001,100.0,0.011112819649513163,3.717815864945163e-05,0.0027766458298620193
Model 3 (Logistic),2,1.0,laplacian,1e-06,100.0,3.688316132415578e-08,0.0011043376950291086,0.0027766458298620193
Model 3 (Logistic),2,1.0,poly,0.0001,1.0,0.02436977778277672,0.00043039454791073383,0.0027766458298620193
Model 3 (Logistic),2,2.0,rbf,1e-06,10.0,0.029174097043509754,3.348694277427455e-05,0.00021027052443778333
Model 3 (Logistic),2,2.0,laplacian,0.1,1.0,0.03712825491060387,0.00036532107981324113,0.00021027052443778333
Model 3 (Logistic),2,2.0,poly,0.1,1.0,0.06519182631686102,0.0006406602526776162,0.00021027052443778333
Model 3 (Logistic),2,4.0,rbf,1e-06,1000.0,2.0268615482891117e-05,1.1563933163050866e-05,3.5189224494522313
Model 3 (Logistic),2,4.0,laplacian,1e-06,10.0,8.805010103601115e-07,0.01872711719913582,3.5189224494522313
Model 3 (Logistic),2,4.0,poly,1e-06,0.01,0.1036182753840906,0.011829399715889777,3.5189224494522313
Model 3 (Logistic),5,1.0,rbf,1e-06,10.0,0.00013081603340834325,1.2965447240803432e-06,0.0008062827142134224
Model 3 (Logistic),5,1.0,laplacian,1e-06,100.0,3.01910718925033e-08,0.0006002963291471006,0.0008062827142134224
Model 3 (Logistic),5,1.0,poly,0.001,1000.0,1.1641115977097777e-05,1.0654276187769156e-05,0.0008062827142134224
Model 3 (Logistic),5,2.0,rbf,1e-06,1.0,0.0013276747608035279,5.182573659112677e-07,0.00017614990828529464
Model 3 (Logistic),5,2.0,laplacian,1e-06,1.0,4.2361270517727085e-07,3.2094604472669786e-09,0.00017614990828529464
Model 3 (Logistic),5,2.0,poly,1e-06,1.0,0.001223654188308067,9.092764230445027e-07,0.00017614990828529464
Model 3 (Logistic),5,4.0,rbf,1e-06,0.01,0.042335127634248994,0.004168626261836987,3.510518210941712
Model 3 (Logistic),5,4.0,laplacian,1e-06,0.001,0.001394438907870949,0.00889999437320209,3.510518210941712
Model 3 (Logistic),5,4.0,poly,1e-06,0.1,0.032991214849911465,0.0013727806861055546,3.510518210941712
