employee_id,total_cost_mean,cluster
12,3948.785416666667,0
11,4018.804166666667,0
13,4116.522083333333,0
8,4198.502916666666,0
20,4626.46875,0
16,4665.42375,0
15,4725.206666666666,0
6,4785.995,0
14,5355.860833333333,0
30,1946.16125,1
25,2129.172916666667,1
29,2140.5041666666666,1
26,2241.7591666666667,1
28,2261.4183333333335,1
1,2430.2383333333332,1
23,2504.0579166666666,1
24,2548.6566666666668,1
22,2565.1025,1
27,2671.435,1
3,2770.5966666666664,1
7,3142.4033333333336,1
4,3217.1491666666666,1
2,3307.83375,1
21,3386.6375000000003,1
5,3429.4520833333336,1
19,3503.9679166666665,1
10,4030.4066666666663,2
18,4297.117916666667,2
17,5194.621666666667,2
9,5774.037083333334,2
