employee_id,total_cost_mean,cluster
1,2430.2383333333332,0
2,3307.83375,2
3,2770.5966666666664,0
4,3217.1491666666666,2
5,3429.4520833333336,2
6,4785.995,1
7,3142.4033333333336,2
8,4198.502916666666,2
9,5774.037083333334,1
10,4030.4066666666663,2
11,4018.804166666667,2
12,3948.785416666667,2
13,4116.522083333333,2
14,5355.860833333333,1
15,4725.206666666666,1
16,4665.42375,1
17,5194.621666666667,1
18,4297.117916666667,2
19,3503.9679166666665,2
20,4626.46875,1
21,3386.6375000000003,2
22,2565.1025,0
23,2504.0579166666666,0
24,2548.6566666666668,0
25,2129.172916666667,0
26,2241.7591666666667,0
27,2671.435,0
28,2261.4183333333335,0
29,2140.5041666666666,0
30,1946.16125,0
