Dataset,Model,Method,RMSE,MAE,NRMSE
Startup (30),AR(1),Train/Val/Test,271.48279138402563,245.16527710461202,0.7638481254545849
Startup (30),AR(2),Train/Val/Test,265.26691387740163,239.70601012323363,0.7545466206748691
SME (250),AR(1),Train/Val/Test,2204.1990917829394,1927.2547245446744,0.9517107535731905
SME (250),AR(2),Train/Val/Test,2273.9154519575045,1982.9403940057161,0.9950298786379626
Startup (30),Ridge,Train/Val/Test,402.55801671724765,301.85658658849775,0.08862368359789968
Startup (30),Lasso,Train/Val/Test,372.1039426190363,277.5271623330185,0.08191917861957107
Startup (30),Pooled FE,Train/Val/Test,359.3404433095014,269.62040937740585,0.0791092772452687
Startup (30),Unpooled,Train/Val/Test,276.4813557387261,247.68470922677062,0.7875941731115129
SME (250),Ridge,Train/Val/Test,8150.151862425936,4832.727979255239,0.09601629186365959
SME (250),Lasso,Train/Val/Test,7895.740464762588,4700.8273584076605,0.09301909139134659
SME (250),Pooled FE,Train/Val/Test,7820.178623489117,4606.693164916226,0.09212890333989235
SME (250),Unpooled,Train/Val/Test,1761.1904861540213,1579.1920521968618,0.8383165691768677
