Model,Method,rmse,nrmse,mae,mape,r2
AR(1),One-Step-Ahead,167.52945968368178,0.061589992222159155,90.7132471518907,3.030803954256304,0.9624766177172325
AR(2),One-Step-Ahead,145.36721320947274,0.0534423351441183,82.88929707589699,2.8635045309091627,0.9717477830946156
AR(3),One-Step-Ahead,170.39048868800825,0.06264181173173405,100.38424075294174,3.5119236042460407,0.961184042892337
AR(4),One-Step-Ahead,218.75437554272278,0.08042215568341575,124.639942709518,4.29251711002027,0.9360216405731485
Ridge,One-Step-Ahead,144.2876600210138,0.053045451678928754,83.87932350143781,2.880569928977397,0.9721658487453064
Lasso,One-Step-Ahead,165.84137704635668,0.06096939094582529,96.53234337851336,3.312910157350473,0.9632290040715695
XGBoost,One-Step (Train/Val/Test),234.42861507941677,0.0861845827393855,127.08313585069443,4.240776919382447,0.9265247882922618
Random Forest,One-Step (Train/Val/Test),236.4025763648679,0.08691028352327947,132.0989233425932,4.430835530943692,0.9252822108672135
SVR,One-Step (Train/Val/Test),281.53802205308705,0.10350373373872165,177.7869089477839,6.153181919412775,0.8940273700210744
AR(1),Multi-Step (6 months),203.892564169954,0.0749584071069904,121.39277640532204,4.107368568416211,0.9444195091899925
AR(2),Multi-Step (6 months),195.40455822996546,0.07183790387840834,115.73289581070615,3.9676419955149638,0.9489507950147351
AR(3),Multi-Step (6 months),213.6171461980675,0.07853352119502084,130.09045447233763,4.519400741511722,0.938991293112929
AR(4),Multi-Step (6 months),245.917804214805,0.09040843131397983,149.54032736140363,5.271909531990577,0.9191463654727183
XGBoost,Time Series CV,88.73944041656709,0.03309226758504605,78.82745435474536,2.905599430470674,-17.0943752599287
Random Forest,Time Series CV,93.98841878598259,0.03456590752605137,85.14503469091713,3.092719556696452,-19.810539250398353
SVR,Time Series CV,129.49006058844844,0.04686840533041433,121.68148730987369,4.3564261509127755,-61.05973554136114
XGBoost,Nested CV,89.14873300328661,0.03323666783140783,79.32519691297742,2.923326272852182,-17.19359028077896
Random Forest,Nested CV,94.28863001748356,0.0346748214808665,85.51386933465605,3.105654698903463,-20.32381362955598
SVR,Nested CV,130.30038079624728,0.04715884063447582,122.62938614308767,4.390888104412881,-61.60257458022052
