Model,Method,rmse,nrmse,mae,r2
AR(1),Train/Val/Test,193.71635274229354,0.07121725743776774,112.22121403404807,0.9498290679098115
AR(2),Train/Val/Test,173.85178519092548,0.06391431165560281,112.75064707852809,0.9595910178326881
AR(3),Train/Val/Test,276.2954609014746,0.10157637540328822,158.88832149727875,0.8979372883487013
AR(4),Train/Val/Test,422.007747030509,0.15514557204670348,235.2919252877788,0.7618994220798211
Ridge,Train/Val/Test,140.3775292983004,0.0516079437847694,81.40032591457582,0.9736539937170413
Lasso,Train/Val/Test,160.46651200365116,0.05899339283301318,93.68710394391819,0.9655738523110139
Pooled FE,Train/Val/Test,245.91180570651284,0.09040622604166679,178.92542616402125,0.9191503098417204
Unpooled,Train/Val/Test,282.86747233537574,0.10399248856847225,183.3626269179894,0.893024180618476
XGBoost,Train/Val/Test,234.42861507941677,0.0861845827393855,127.08313585069443,0.9265247882922618
AR(1),Recursive Multi-Step,279.38412668094213,0.10271188256539233,170.1421458657732,0.8956426462224492
AR(2),Recursive Multi-Step,451.2323072601481,0.16588959545988718,216.6545223302567,0.7277800339011706
Ridge,Recursive Multi-Step,189.8374787156745,0.06979124065492086,112.63410939367128,0.9518181449439326
Lasso,Recursive Multi-Step,200.3196405476551,0.0736448689476526,121.2638769513549,0.9463503779549355
XGBoost,Recursive Multi-Step,214.79790184268916,0.07896761040599203,115.6271447753906,0.9383149853854729
AR(1),Time Series CV,139.3617284206103,0.04976642880175495,129.26141814889434,-281.68024015502493
AR(2),Time Series CV,228.1466428302463,0.08317559840728236,204.1343982125032,-824.1992415094182
AR(3),Time Series CV,295.44756687590734,0.10248032740359275,273.085701018371,-2017.2477732310567
AR(4),Time Series CV,198.12189377405085,0.07157798933859048,173.76794611178806,-257.3216603334157
Ridge,Time Series CV,167.53617171121343,0.05541693709872612,149.58327265628188,-1383.9769346574028
Lasso,Time Series CV,191.0360655858704,0.06401833046423405,173.18282572538627,-1544.92123303515
XGBoost,Time Series CV,88.73944041656709,0.03309226758504605,78.82745435474536,-17.0943752599287
Ridge,Nested CV,175.7902193642862,0.057003558688099316,157.372470570993,-1890.2396082639118
Lasso,Nested CV,185.1223178964592,0.06189077297624198,162.20997493829623,-1850.3193449088908
XGBoost,Nested CV,89.14873300328661,0.03323666783140783,79.32519691297742,-17.19359028077896
