Model,Method,rmse,nrmse,mae,r2
AR(1),Train/Val/Test,167.52945968368186,0.06158999222215918,90.71324715189076,0.9624766177172325
AR(1),Recursive Multi-Step,203.89256416995403,0.07495840710699041,121.39277640532211,0.9444195091899925
AR(1),Time Series CV,139.36172842061026,0.04976642880175494,129.26141814889428,-281.68024015502425
AR(2),Train/Val/Test,145.36721320947274,0.0534423351441183,82.88929707589695,0.9717477830946156
AR(2),Recursive Multi-Step,195.4045582299653,0.07183790387840829,115.7328958107061,0.9489507950147351
AR(2),Time Series CV,228.14664283024624,0.08317559840728232,204.13439821250319,-824.199241509419
Ridge,Train/Val/Test,140.3775292983004,0.0516079437847694,81.40032591457582,0.9736539937170413
Ridge,Recursive Multi-Step,189.8374787156745,0.06979124065492086,112.63410939367128,0.9518181449439326
Ridge,Time Series CV,83.88882666184462,0.032118441458143486,72.88342579118446,-22.621058051655343
Lasso,Train/Val/Test,160.46651200365116,0.05899339283301318,93.68710394391819,0.9655738523110139
Lasso,Recursive Multi-Step,200.3196405476551,0.0736448689476526,121.2638769513549,0.9463503779549355
Lasso,Time Series CV,96.07696308382882,0.03689008640957133,85.40301999506568,-39.05877280272471
Pooled FE,Train/Val/Test,233.18901838421903,0.08572886139365923,162.83443527118501,0.927299769000566
Pooled FE,Recursive Multi-Step,233.18901838421905,0.08572886139365926,162.83443527118501,0.927299769000566
Pooled FE,Time Series CV,,,,
Unpooled,Train/Val/Test,213.91290351694323,0.07864225246535142,128.84494243087119,0.9388222405543285
Unpooled,Recursive Multi-Step,213.91064027514884,0.07864142041441079,128.75015514846436,0.938823535093623
Unpooled,Time Series CV,,,,
