employee_id,role,salaire_brut,cot_salariale,cot_patronale,net_imposable,pas,net_paye,avantages,total_cost,month
00001,Founder,1829.04,412.87,479.93,1416.16,0.0,1416.16,50.24,2359.21,2023-01
00001,Founder,1833.68,434.93,539.72,1398.75,0.0,1398.75,92.12,2465.52,2023-02
00001,Founder,1818.82,331.19,563.75,1487.63,0.0,1487.63,130.41,2512.99,2023-03
00001,Founder,1798.6,421.39,580.5,1377.21,0.0,1377.21,149.17,2528.27,2023-04
00001,Founder,1743.64,354.15,620.9,1389.5,0.0,1389.5,32.86,2397.4,2023-05
00001,Founder,1778.16,418.98,690.54,1359.18,0.0,1359.18,72.6,2541.31,2023-06
00001,Founder,1815.44,351.02,567.42,1464.42,0.0,1464.42,77.5,2460.36,2023-07
00001,Founder,1831.98,419.93,516.04,1412.05,0.0,1412.05,112.6,2460.62,2023-08
00001,Founder,1795.74,407.69,483.6,1388.05,0.0,1388.05,96.7,2376.05,2023-09
00001,Founder,1809.5,328.95,533.08,1480.55,0.0,1480.55,54.82,2397.41,2023-10
00001,Founder,1784.94,426.87,470.28,1358.08,0.0,1358.08,29.49,2284.71,2023-11
00001,Founder,1763.68,403.67,590.87,1360.01,0.0,1360.01,38.09,2392.64,2023-12
00001,Founder,1713.35,399.97,440.56,1313.38,0.0,1313.38,115.51,2269.42,2024-01
00001,Founder,1747.6,355.36,662.2,1392.24,0.0,1392.24,144.04,2553.85,2024-02
00001,Founder,1770.39,334.72,452.23,1435.67,0.0,1435.67,94.33,2316.96,2024-03
00001,Founder,1771.39,338.9,464.7,1432.49,0.0,1432.49,19.38,2255.47,2024-04
00001,Founder,1785.1,392.26,618.9,1392.85,0.0,1392.85,141.99,2546.0,2024-05
00001,Founder,1775.89,425.05,531.54,1350.84,0.0,1350.84,61.72,2369.15,2024-06
00001,Founder,1760.28,334.43,516.07,1425.85,0.0,1425.85,64.36,2340.71,2024-07
00001,Founder,1778.22,375.31,570.54,1402.9,0.0,1402.9,136.0,2484.76,2024-08
00001,Founder,1773.02,413.59,735.83,1359.42,0.0,1359.42,146.29,2655.14,2024-09
00001,Founder,1759.49,329.62,725.74,1429.87,0.0,1429.87,89.83,2575.05,2024-10
00001,Founder,1766.97,395.06,553.11,1371.9,0.0,1371.9,42.36,2362.43,2024-11
00001,Founder,1786.53,385.9,633.17,1400.63,0.0,1400.63,0.59,2420.29,2024-12
00002,Founder,2367.15,532.2,757.11,1834.95,55.12,1779.83,134.64,3258.9,2023-01
00002,Founder,2363.19,435.08,615.93,1928.1,124.89,1803.21,74.22,3053.34,2023-02
00002,Founder,2353.24,527.3,875.74,1825.94,90.51,1735.43,107.08,3336.06,2023-03
00002,Founder,2403.08,506.42,750.65,1896.66,90.96,1805.69,107.44,3261.17,2023-04
00002,Founder,2395.6,445.92,599.59,1949.68,134.68,1815.0,62.37,3057.56,2023-05
00002,Founder,2408.38,436.82,935.93,1971.56,87.6,1883.95,126.93,3471.24,2023-06
00002,Founder,2416.52,541.87,668.26,1874.66,80.79,1793.86,52.18,3136.96,2023-07
00002,Founder,2426.96,573.54,826.85,1853.41,56.73,1796.68,90.33,3344.13,2023-08
00002,Founder,2435.0,568.36,879.44,1866.63,111.42,1755.22,20.51,3334.95,2023-09
00002,Founder,2397.56,553.1,733.24,1844.46,58.2,1786.25,35.93,3166.73,2023-10
00002,Founder,2385.52,465.91,936.37,1919.62,88.6,1831.02,86.89,3408.78,2023-11
00002,Founder,2425.03,523.27,813.44,1901.75,66.11,1835.65,135.63,3374.1,2023-12
00002,Founder,2415.84,512.14,661.55,1903.7,130.87,1772.82,5.64,3083.04,2024-01
00002,Founder,2438.33,541.84,724.3,1896.49,126.23,1770.27,121.56,3284.2,2024-02
00002,Founder,2468.59,533.43,941.81,1935.17,99.46,1835.71,27.12,3437.53,2024-03
00002,Founder,2484.2,453.85,1027.08,2030.35,65.58,1964.77,89.25,3600.53,2024-04
00002,Founder,2477.81,529.71,724.29,1948.1,125.91,1822.19,72.93,3275.02,2024-05
00002,Founder,2492.73,520.96,660.88,1971.77,130.22,1841.55,27.94,3181.55,2024-06
00002,Founder,2494.23,531.87,771.44,1962.36,105.38,1856.98,116.73,3382.39,2024-07
00002,Founder,2484.14,586.05,754.57,1898.08,132.2,1765.88,45.75,3284.46,2024-08
00002,Founder,2485.8,499.73,1004.69,1986.07,99.13,1886.94,113.57,3604.06,2024-09
00002,Founder,2488.47,522.77,849.72,1965.69,102.28,1863.42,60.28,3398.46,2024-10
00002,Founder,2458.2,574.39,654.57,1883.81,105.0,1778.81,143.57,3256.34,2024-11
00002,Founder,2482.56,568.87,775.13,1913.69,128.64,1785.05,138.81,3396.51,2024-12
00003,Founder,1959.68,377.21,580.9,1582.47,104.52,1477.94,26.64,2567.22,2023-01
00003,Founder,1971.9,392.13,785.1,1579.77,62.59,1517.19,137.32,2894.31,2023-02
00003,Founder,1977.9,411.44,597.97,1566.46,63.57,1502.88,22.07,2597.94,2023-03
00003,Founder,1983.22,456.73,771.76,1526.49,58.54,1467.95,77.51,2832.49,2023-04
00003,Founder,2008.22,456.88,615.57,1551.34,53.24,1498.1,133.02,2756.81,2023-05
00003,Founder,2035.87,455.67,586.2,1580.2,75.84,1504.36,124.22,2746.29,2023-06
00003,Founder,2005.29,443.1,709.73,1562.2,64.39,1497.81,119.72,2834.74,2023-07
00003,Founder,2016.17,469.31,678.74,1546.85,89.01,1457.84,25.4,2720.31,2023-08
00003,Founder,2038.82,417.66,732.93,1621.16,85.1,1536.06,105.23,2876.98,2023-09
00003,Founder,2049.21,466.39,706.74,1582.82,95.59,1487.23,27.71,2783.66,2023-10
00003,Founder,1999.93,448.47,607.75,1551.46,67.72,1483.74,89.83,2697.51,2023-11
00003,Founder,2015.82,459.14,616.26,1556.67,65.6,1491.07,116.42,2748.5,2023-12
00003,Founder,1997.86,380.04,618.47,1617.82,75.47,1542.35,29.03,2645.36,2024-01
00003,Founder,2007.46,467.25,820.34,1540.21,61.22,1478.99,64.76,2892.56,2024-02
00003,Founder,2017.61,370.4,742.61,1647.22,60.96,1586.26,141.29,2901.52,2024-03
00003,Founder,2022.57,450.29,626.78,1572.28,53.01,1519.28,100.35,2749.7,2024-04
00003,Founder,2026.11,460.6,697.46,1565.5,107.48,1458.03,131.4,2854.96,2024-05
00003,Founder,2048.54,416.17,681.74,1632.37,103.72,1528.65,130.87,2861.16,2024-06
