employee_id,role,salaire_brut,cot_salariale,cot_patronale,net_imposable,PAS,net_paye,avantages,total_cost,month
1,Intern,898.93,191.48,270.68,707.45,0.0,707.45,7.77,1177.38,2023-01-01
2,Intern,704.02,138.64,260.85,565.38,0.0,565.38,127.13,1092.0,2023-01-01
3,Intern,700.53,140.34,205.76,560.19,0.0,560.19,51.88,958.17,2023-01-01
4,Intern,826.08,154.31,254.5,671.77,0.0,671.77,120.3,1200.88,2023-01-01
5,Intern,871.51,185.03,265.16,686.49,0.0,686.49,128.11,1264.78,2023-01-01
6,Intern,740.97,176.96,299.26,564.01,0.0,564.01,133.94,1174.17,2023-01-01
7,Intern,630.07,147.03,160.66,483.05,0.0,483.05,24.01,814.75,2023-01-01
8,Intern,873.4,167.93,280.94,705.47,0.0,705.47,97.46,1251.8,2023-01-01
9,Intern,806.69,170.48,236.34,636.21,0.0,636.21,67.49,1110.52,2023-01-01
10,Intern,844.15,175.94,242.65,668.21,0.0,668.21,34.97,1121.77,2023-01-01
11,Intern,730.13,149.61,254.88,580.52,0.0,580.52,58.21,1043.22,2023-01-01
12,Intern,699.8,135.34,187.97,564.46,0.0,564.46,125.39,1013.16,2023-01-01
13,Junior,1932.34,461.9,656.04,1470.45,0.0,1470.45,116.08,2704.46,2023-01-01
14,Junior,1546.76,326.28,546.22,1220.48,0.0,1220.48,73.86,2166.84,2023-01-01
15,Junior,1515.01,308.24,620.45,1206.78,0.0,1206.78,9.58,2145.04,2023-01-01
16,Junior,2355.16,473.28,624.15,1881.88,118.76,1763.12,112.44,3091.75,2023-01-01
17,Junior,1667.54,346.38,631.5,1321.16,0.0,1321.16,104.96,2404.0,2023-01-01
18,Junior,1998.09,447.49,717.76,1550.6,59.22,1491.38,96.3,2812.16,2023-01-01
19,Junior,2315.29,532.85,684.08,1782.45,110.92,1671.53,111.56,3110.94,2023-01-01
20,Junior,2348.4,428.04,723.34,1920.36,101.26,1819.1,17.99,3089.73,2023-01-01
21,Junior,2715.57,596.86,767.71,2118.71,122.36,1996.35,94.42,3577.7,2023-01-01
22,Junior,2238.53,506.06,638.92,1732.47,63.29,1669.19,59.96,2937.41,2023-01-01
23,Junior,2198.45,457.72,723.91,1740.73,63.49,1677.24,23.9,2946.25,2023-01-01
24,Junior,1879.83,425.37,744.1,1454.46,0.0,1454.46,127.19,2751.12,2023-01-01
25,Junior,2589.45,582.48,872.12,2006.96,134.19,1872.78,2.75,3464.31,2023-01-01
26,Junior,2184.08,444.32,617.96,1739.75,83.37,1656.39,57.34,2859.38,2023-01-01
27,Junior,1449.23,303.93,378.29,1145.3,0.0,1145.3,11.99,1839.51,2023-01-01
28,Junior,1938.01,449.54,554.18,1488.47,0.0,1488.47,124.75,2616.93,2023-01-01
29,Junior,2007.58,432.98,535.64,1574.6,100.26,1474.34,20.07,2563.28,2023-01-01
30,Junior,2010.17,388.86,816.37,1621.31,49.44,1571.87,105.54,2932.09,2023-01-01
31,Junior,1996.25,373.02,597.06,1623.23,52.41,1570.82,43.31,2636.62,2023-01-01
32,Junior,1761.37,380.35,616.22,1381.02,0.0,1381.02,128.65,2506.24,2023-01-01
33,Junior,2825.04,597.88,1102.81,2227.16,138.11,2089.05,5.02,3932.86,2023-01-01
34,Junior,1516.26,316.42,525.87,1199.84,0.0,1199.84,5.71,2047.85,2023-01-01
35,Junior,1869.18,440.38,644.57,1428.8,0.0,1428.8,108.56,2622.31,2023-01-01
36,Junior,1745.67,369.98,623.68,1375.7,0.0,1375.7,109.42,2478.77,2023-01-01
37,Junior,2029.76,440.97,604.19,1588.79,80.92,1507.87,34.71,2668.65,2023-01-01
38,Junior,1694.0,335.52,638.71,1358.49,0.0,1358.49,88.62,2421.34,2023-01-01
39,Junior,1911.04,456.42,775.94,1454.62,0.0,1454.62,148.05,2835.03,2023-01-01
