employee_id,role,salaire_brut,cot_salariale,cot_patronale,net_imposable,pas,net_paye,avantages,total_cost,month,test
00010,,5247.83,2194.1,978.25,-3723.76,,3723.76,,6226.08,2025-06,5247.83
00010,,5247.83,2194.1,978.25,-3723.76,,3723.76,,6226.08,2025-07,5247.83
00010,,5247.83,2194.1,978.25,-3723.76,,3723.76,,6226.08,2025-08,5247.83
00010,,5247.83,2194.1,1088.6499999999996,-3734.16,,3734.16,,6336.48,2025-09,5247.83
00010,,5247.83,2194.1,980.8500000000004,-4034.58,,4034.58,,6228.68,2025-10,5247.83
00010,,5247.83,2194.1,1983.4499999999998,-5037.18,,5037.18,,7231.28,2025-11,5247.83
00020,,5533.46,2320.1099999999997,1066.8900000000003,-3661.84,,3661.84,,6600.35,2025-06,5533.46
00020,,5533.46,2320.1099999999997,1066.8900000000003,-3661.84,,3661.84,,6600.35,2025-07,5533.46
00020,,5540.03,2323.02,1065.79,-3663.66,,3663.66,,6605.82,2025-08,5540.03
00020,,5474.36,2294.02,1174.1800000000003,-3642.72,,3642.72,,6648.54,2025-09,5474.36
00020,,5474.36,2294.02,1074.1800000000003,-3656.12,,3656.12,,6548.54,2025-10,5474.36
00020,,4687.98,2042.4099999999999,1860.7900000000009,-4402.44,,4402.44,,6548.77,2025-11,4687.98
00030,,3678.62,1311.78,545.6800000000003,-2795.07,,2795.07,,4224.3,2025-06,3678.62
00030,,3678.62,1311.78,545.6800000000003,-2795.07,,2795.07,,4224.3,2025-07,3678.62
00030,,3395.1,19264.28,60695.43,-44826.25,,44826.25,,64090.53,2025-08,3395.1
00040,,22326.61,11684.61,6829.68,-14066.69,,14066.69,,29156.29,2025-06,22326.61
00040,,22326.61,11684.61,6829.68,-14066.69,,14066.69,,29156.29,2025-07,22326.61
00040,,7334.27,2777.58,1135.67,-4571.55,,4571.55,,8469.94,2025-08,7334.27
00040,,7250.0,2769.22,1242.9599999999991,-4517.68,,4517.68,,8492.96,2025-09,7250.0
00040,,7250.0,2769.25,1142.9699999999993,-4494.0,,4494.0,,8392.97,2025-10,7250.0
00040,,7250.0,2864.56,2150.7700000000004,-5228.25,,5228.25,,9400.77,2025-11,7250.0
00050,,3312.22,1138.42,435.4300000000003,-2474.03,,2474.03,,3747.65,2025-06,3312.22
00050,,3312.22,1138.42,435.4300000000003,-2474.03,,2474.03,,3747.65,2025-07,3312.22
00050,,3286.67,1129.65,434.67999999999984,-2457.55,,2457.55,,3721.35,2025-08,3286.67
00050,,3286.67,1129.65,532.0799999999999,-2454.95,,2454.95,,3818.75,2025-09,3286.67
