Model,Regularization,Alpha,Method,RMSE,MAE,NRMSE,R²
Pooled FE,Unregularized (OLS),0.0,Train/Val/Test,245.91180570651284,178.92542616402125,0.09040622604166679,0.9191503098417204
Pooled FE,Unregularized (OLS),0.0,Recursive Multi-Step,233.18901838421883,162.83443527118482,0.08572886139365916,0.9272997690005662
Pooled FE,Ridge (α=0.1),0.1,Train/Val/Test,251.84388654157536,183.17357283611247,0.0925870771778345,0.9152026211466794
Pooled FE,Ridge (α=0.1),0.1,Recursive Multi-Step,238.18855229627854,166.84283641966545,0.08756687397568251,0.9241489893295168
Pooled FE,Ridge (α=1.0),1.0,Train/Val/Test,289.8406757675047,209.97104805075998,0.10655609467070211,0.8876848686165323
Pooled FE,Ridge (α=1.0),1.0,Recursive Multi-Step,273.46066129877624,192.2652276985995,0.10053419878664283,0.9000208772719136
Pooled FE,Ridge (α=10.0),10.0,Train/Val/Test,464.02700568791596,396.7918898135881,0.17059339727563347,0.7121235652452113
Pooled FE,Ridge (α=10.0),10.0,Recursive Multi-Step,432.64950958737984,363.98227701362504,0.159057875437076,0.749739657935342
Pooled FE,Ridge (α=100.0),100.0,Train/Val/Test,773.1129331098625,678.9021070969968,0.28422475442225237,0.2008919985938623
Pooled FE,Ridge (α=100.0),100.0,Recursive Multi-Step,756.6536732878116,663.4763781590319,0.2781737250311431,0.23455517396852388
Unpooled,Unregularized (OLS),0.0,Train/Val/Test,282.86747233537574,183.3626269179894,0.10399248856847225,0.893024180618476
Unpooled,Unregularized (OLS),0.0,Recursive Multi-Step,195.40455822996546,115.73289581070615,0.07183790387840834,0.9489507950147351
Unpooled,Ridge (α=0.1),0.1,Train/Val/Test,282.8015136317223,183.3211495524085,0.10396823972261153,0.8930740637927918
Unpooled,Ridge (α=0.1),0.1,Recursive Multi-Step,195.35170912782846,115.69848058736255,0.07181847460432299,0.9489784048088481
Unpooled,Ridge (α=1.0),1.0,Train/Val/Test,282.2117770585156,182.94918171872936,0.10375143086388601,0.8935195521188827
Unpooled,Ridge (α=1.0),1.0,Recursive Multi-Step,194.89333038106983,115.40311768908538,0.07164995771481011,0.949217560911
Unpooled,Ridge (α=10.0),10.0,Train/Val/Test,276.6842584384639,179.35648550446993,0.10171931168043243,0.897649844968673
Unpooled,Ridge (α=10.0),10.0,Recursive Multi-Step,191.59265432476317,114.17384082249195,0.0704365077757986,0.9509230787039556
Unpooled,Ridge (α=100.0),100.0,Train/Val/Test,246.91681821934228,157.0596053118908,0.0907757056123955,0.918488113167371
Unpooled,Ridge (α=100.0),100.0,Recursive Multi-Step,183.96574831249268,108.4218850653834,0.06763257655760084,0.9547526087388298
